date,ticker,name,sector,industry,price,low_52w,high_52w,pct_from_low,pct_from_high,dividend_yield_pct,trailing_pe,market_cap,updated_at
2026-08-14,KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,19.2,13.38,20.84,43.54,-7.88,4.38,22.59,36878852096.0,2026-08-17T09:11:44.312906+00:00
2026-08-14,FMCB,Farmers & Merchants Bancorp,Financial Services,Banks - Regional,1399.7,972.41,1402.0,43.94,-0.16,1.6,10.03,968513984.0,2026-08-17T09:11:36.007245+00:00
2026-08-14,BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,183.4,125.21,185.32,46.48,-1.04,2.29,31.73,49955741696.0,2026-08-17T09:11:19.614481+00:00
2026-08-14,GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,1322.64,901.22,1417.14,46.76,-6.67,75.0,33.67,62297591808.0,2026-08-17T09:11:32.896134+00:00
2026-08-14,NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,308.72,208.76,315.68,47.88,-2.2,1.06,33.02,17201244160.0,2026-08-17T09:11:32.264741+00:00
2026-08-14,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,80.45,54.34,88.46,48.04,-9.05,2.59,21.98,38773645312.0,2026-08-17T09:11:31.633298+00:00
2026-08-14,CDUAF,Canadian Utilities Limited,Utilities,Utilities - Diversified,38.46,25.96,40.95,48.17,-6.09,3.43,320.5,10473834496.0,2026-08-17T09:11:48.437766+00:00
2026-08-14,PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,1055.85,710.89,1099.94,48.52,-4.01,76.0,37.03,133128314880.0,2026-08-17T09:11:18.970667+00:00
2026-08-14,UBSI,"United Bankshares, Inc.",Financial Services,Banks - Regional,49.27,33.16,49.62,48.57,-0.71,3.09,13.43,6711193600.0,2026-08-17T09:11:42.643606+00:00
2026-08-14,GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,135.03,89.8,148.58,50.36,-9.12,3.15,519.35,18615203840.0,2026-08-17T09:11:24.877185+00:00
2026-08-14,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,260.35,170.35,274.9,52.84,-5.29,2.06,30.2,627417088000.0,2026-08-17T09:11:25.547577+00:00
2026-08-14,SCL,Stepan Company,Basic Materials,Specialty Chemicals,65.17,40.83,66.97,59.62,-2.68,2.42,,1480227328.0,2026-08-17T09:11:26.795410+00:00
2026-08-14,SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,102.07,59.87,104.68,70.49,-2.49,3.29,24.96,15414267904.0,2026-08-17T09:11:27.413768+00:00
2026-08-14,TGT,Target Corporation,Consumer Defensive,Discount Stores,154.48,81.2,156.47,90.24,-1.27,3.0,20.41,,2026-08-17T09:11:22.793950+00:00
2026-08-14,GRC,Gorman-Rupp Company (The),Industrials,Specialty Industrial Machinery,80.81,40.53,92.56,99.36,-12.69,94.0,34.1,2134211712.0,2026-08-17T09:11:45.540271+00:00
2026-08-14,NUE,Nucor Corporation,Basic Materials,Steel,268.91,130.11,280.11,106.68,-4.0,83.0,21.46,61009141760.0,2026-08-17T09:11:39.127803+00:00
2026-08-21,UVV,Universal Corporation,Consumer Defensive,Tobacco,45.0,43.36,57.51,3.78,-21.76,7.38,59.21,1120466560.0,2026-08-24T09:31:22.722547+00:00
2026-08-21,PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,144.68,134.62,164.77,7.47,-12.19,3.01,21.82,336298967040.0,2026-08-24T09:31:16.001698+00:00
2026-08-21,PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,143.48,133.4,168.19,7.55,-14.69,4.13,18.8,195993681920.0,2026-08-24T09:31:07.002962+00:00
2026-08-21,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,216.09,199.4,289.87,8.37,-25.45,2.31,18.28,,2026-08-24T09:30:57.225560+00:00
